LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Descriptions
BEL,SUICIDE,TOT,SUM,PER,A,seventeen,14.8,
BEL,SUICIDE,TOT,SUM,PER,A,eighteen,15.2,http://www.timelines.ws/countries/BELGIUM.HTML. The fluctuating rate of suicide rates may be due to these events: 1967 - In Belgium 323 people perished in a fire in a Brussels department store. 1985 - At Heysel Stadium rioting erupted between British and Italian spectators at the European Cup soccer final. 39 people were killed when rioting broke out and a wall separating British and Italian soccer fans collapsed. 1996 - Some 250000 people staged the "White March" through Brussels to demand changes in the police and justice system. 1998 - The worst storm in a century hit the Netherlands and Belgium over the past week. 2010 - Two commuter trains collided head-on which killed at least 18 people and injured 55,
CAN,SUICIDE,TOT,SUM,PER,A,sixty,10.3,
CAN,SUICIDE,TOT,SUM,PER,A,sixtyOne,10.4,
CAN,SUICIDE,TOT,SUM,PER,A,sixtyTwo,9.7,
CAN,SUICIDE,TOT,SUM,PER,A,sixtyThree,10.3,
CAN,SUICIDE,TOT,SUM,PER,A,sixtyFour,11.1,
CAN,SUICIDE,TOT,SUM,PER,A,sixtyFive,11.9,
CAN,SUICIDE,TOT,SUM,PER,A,sixtySix,11.4,
CAN,SUICIDE,TOT,SUM,PER,A,sixtySeven,11.8,
CAN,SUICIDE,TOT,SUM,PER,A,sixtyEight,12.5,
CAN,SUICIDE,TOT,SUM,PER,A,sixtyNine,13.8,
CAN,SUICIDE,TOT,SUM,PER,A,seventy,14.1,
CAN,SUICIDE,TOT,SUM,PER,A,seventyOne,14.6,
CAN,SUICIDE,TOT,SUM,PER,A,seventyTwo,14.5,
CAN,SUICIDE,TOT,SUM,PER,A,seventyThree,15,
CAN,SUICIDE,TOT,SUM,PER,A,seventyFour,14.9,
CAN,SUICIDE,TOT,SUM,PER,A,seventyFive,14.1,
CAN,SUICIDE,TOT,SUM,PER,A,seventySix,14.4,
CAN,SUICIDE,TOT,SUM,PER,A,seventySeven,15.7,
CAN,SUICIDE,TOT,SUM,PER,A,seventyEight,16.3,
CAN,SUICIDE,TOT,SUM,PER,A,seventyNine,15.2,
CAN,SUICIDE,TOT,SUM,PER,A,eighty,15.3,
CAN,SUICIDE,TOT,SUM,PER,A,eightyOne,15.2,
CAN,SUICIDE,TOT,SUM,PER,A,eightyTwo,15.5,
CAN,SUICIDE,TOT,SUM,PER,A,eightyThree,16.1,
CAN,SUICIDE,TOT,SUM,PER,A,eightyFour,14.6,
CAN,SUICIDE,TOT,SUM,PER,A,eightyFive,13.5,
CAN,SUICIDE,TOT,SUM,PER,A,eightySix,15.1,
CAN,SUICIDE,TOT,SUM,PER,A,eightySeven,14.7,
CAN,SUICIDE,TOT,SUM,PER,A,eightyEight,14,
CAN,SUICIDE,TOT,SUM,PER,A,eightyNine,13.8,
CAN,SUICIDE,TOT,SUM,PER,A,ninety,12.9,
CAN,SUICIDE,TOT,SUM,PER,A,ninetyOne,13.4,
CAN,SUICIDE,TOT,SUM,PER,A,ninetyTwo,13.3,
CAN,SUICIDE,TOT,SUM,PER,A,ninetyThree,13.4,
CAN,SUICIDE,TOT,SUM,PER,A,ninetyFour,13.1,
CAN,SUICIDE,TOT,SUM,PER,A,ninetyFive,13.5,
CAN,SUICIDE,TOT,SUM,PER,A,ninetySix,13.4,
CAN,SUICIDE,TOT,SUM,PER,A,ninetySeven,12.4,
CAN,SUICIDE,TOT,SUM,PER,A,ninetyEight,12.3,
CAN,SUICIDE,TOT,SUM,PER,A,ninetyNine,13.3,
CAN,SUICIDE,TOT,SUM,PER,A,zero,11.6,
CAN,SUICIDE,TOT,SUM,PER,A,one,11.8,
CAN,SUICIDE,TOT,SUM,PER,A,two,11.6,
CAN,SUICIDE,TOT,SUM,PER,A,three,11.8,
CAN,SUICIDE,TOT,SUM,PER,A,four,11.2,
CAN,SUICIDE,TOT,SUM,PER,A,five,11.3,
CAN,SUICIDE,TOT,SUM,PER,A,six,11,
CAN,SUICIDE,TOT,SUM,PER,A,seven,10.7,
CAN,SUICIDE,TOT,SUM,PER,A,eight,10.9,
CAN,SUICIDE,TOT,SUM,PER,A,nine,11.2,
CAN,SUICIDE,TOT,SUM,PER,A,ten,11.3,
CAN,SUICIDE,TOT,SUM,PER,A,eleven,10.9,
CAN,SUICIDE,TOT,SUM,PER,A,twelve,11,
CAN,SUICIDE,TOT,SUM,PER,A,thirteen,11.2,
CAN,SUICIDE,TOT,SUM,PER,A,fourteen,11.7,
CAN,SUICIDE,TOT,SUM,PER,A,fifteen,12,
CAN,SUICIDE,TOT,SUM,PER,A,sixteen,10.7,
CAN,SUICIDE,TOT,SUM,PER,A,seventeen,11.1,
CAN,SUICIDE,TOT,SUM,PER,A,eighteen,10.1,
CAN,SUICIDE,TOT,SUM,PER,A,nineteen,10.5,https://www.ducksters.com/geography/country/canada_history_timeline.php. The fluctuating rate of suicide rates may be due to these events: 1959 - The opening of the St. Lawrence Seaway allowing ships access to the Great Lakes from the Atlantic Ocean. 1982 - The Canada Act is passed by the British Parliament giving all remaining legal powers to Canada. A new constitution is adopted. 1995 - Quebec narrowly rejects independence. 2003 - Canada decides not to join in the war in Iraq,
CZE,SUICIDE,TOT,SUM,PER,A,eightySix,24.2,
CZE,SUICIDE,TOT,SUM,PER,A,eightySeven,21.4,
CZE,SUICIDE,TOT,SUM,PER,A,eightyEight,21.7,
CZE,SUICIDE,TOT,SUM,PER,A,eightyNine,21.2,
CZE,SUICIDE,TOT,SUM,PER,A,ninety,22.3,
CZE,SUICIDE,TOT,SUM,PER,A,ninetyOne,20.8,
CZE,SUICIDE,TOT,SUM,PER,A,ninetyTwo,21.4,
CZE,SUICIDE,TOT,SUM,PER,A,ninetyThree,20.6,
CZE,SUICIDE,TOT,SUM,PER,A,ninetyFour,19.8,
CZE,SUICIDE,TOT,SUM,PER,A,ninetyFive,18.2,
CZE,SUICIDE,TOT,SUM,PER,A,ninetySix,16.3,
CZE,SUICIDE,TOT,SUM,PER,A,ninetySeven,17,
CZE,SUICIDE,TOT,SUM,PER,A,ninetyEight,16.4,
CZE,SUICIDE,TOT,SUM,PER,A,ninetyNine,16.4,
CZE,SUICIDE,TOT,SUM,PER,A,zero,16.5,
CZE,SUICIDE,TOT,SUM,PER,A,one,16.1,
CZE,SUICIDE,TOT,SUM,PER,A,two,15.3,
CZE,SUICIDE,TOT,SUM,PER,A,three,17.1,
CZE,SUICIDE,TOT,SUM,PER,A,four,15.4,
CZE,SUICIDE,TOT,SUM,PER,A,five,15.2,
CZE,SUICIDE,TOT,SUM,PER,A,six,13.4,
CZE,SUICIDE,TOT,SUM,PER,A,seven,13.1,
CZE,SUICIDE,TOT,SUM,PER,A,eight,13,
CZE,SUICIDE,TOT,SUM,PER,A,nine,13.6,
CZE,SUICIDE,TOT,SUM,PER,A,ten,13.9,
CZE,SUICIDE,TOT,SUM,PER,A,eleven,14.7,
CZE,SUICIDE,TOT,SUM,PER,A,twelve,15.2,
CZE,SUICIDE,TOT,SUM,PER,A,thirteen,14.5,
CZE,SUICIDE,TOT,SUM,PER,A,fourteen,13.7,
CZE,SUICIDE,TOT,SUM,PER,A,fifteen,12.6,
CZE,SUICIDE,TOT,SUM,PER,A,sixteen,12,
CZE,SUICIDE,TOT,SUM,PER,A,seventeen,12.8,
CZE,SUICIDE,TOT,SUM,PER,A,eighteen,12.3,
CZE,SUICIDE,TOT,SUM,PER,A,nineteen,10.7,
CZE,SUICIDE,TOT,SUM,PER,A,twenty,10.9,https://localhistories.org/a-timeline-of-czech-republic-2/. The fluctuating rate of suicide rates may be due to these events: 1953 - A wave of strikes and demonstrations takes place. 1989 - Communism collapsed in Czechoslovakia. 1999 - The Czechs join NATO. 2004 - The Czechs join the EU,
DNK,SUICIDE,TOT,SUM,PER,A,sixty,23.5,
DNK,SUICIDE,TOT,SUM,PER,A,sixtyOne,19.7,
DNK,SUICIDE,TOT,SUM,PER,A,sixtyTwo,22.4,
DNK,SUICIDE,TOT,SUM,PER,A,sixtyThree,22.1,
DNK,SUICIDE,TOT,SUM,PER,A,sixtyFour,24.4,
DNK,SUICIDE,TOT,SUM,PER,A,sixtyFive,22.2,
DNK,SUICIDE,TOT,SUM,PER,A,sixtySix,20.4,
DNK,SUICIDE,TOT,SUM,PER,A,sixtySeven,20.1,
DNK,SUICIDE,TOT,SUM,PER,A,sixtyEight,23.5,
DNK,SUICIDE,TOT,SUM,PER,A,sixtyNine,23.9,
DNK,SUICIDE,TOT,SUM,PER,A,seventy,24.4,
DNK,SUICIDE,TOT,SUM,PER,A,seventyOne,28.2,
DNK,SUICIDE,TOT,SUM,PER,A,seventyTwo,27.2,
DNK,SUICIDE,TOT,SUM,PER,A,seventyThree,27.1,
DNK,SUICIDE,TOT,SUM,PER,A,seventyFour,29.7,
DNK,SUICIDE,TOT,SUM,PER,A,seventyFive,27.2,
DNK,SUICIDE,TOT,SUM,PER,A,seventySix,26.7,
DNK,SUICIDE,TOT,SUM,PER,A,seventySeven,26.9,
DNK,SUICIDE,TOT,SUM,PER,A,seventyEight,26,
DNK,SUICIDE,TOT,SUM,PER,A,seventyNine,28.5,
DNK,SUICIDE,TOT,SUM,PER,A,eighty,34.8,
DNK,SUICIDE,TOT,SUM,PER,A,eightyOne,32.8,
DNK,SUICIDE,TOT,SUM,PER,A,eightyTwo,31.4,
DNK,SUICIDE,TOT,SUM,PER,A,eightyThree,30.7,
DNK,SUICIDE,TOT,SUM,PER,A,eightyFour,30.7,
DNK,SUICIDE,TOT,SUM,PER,A,eightyFive,29.5,
DNK,SUICIDE,TOT,SUM,PER,A,eightySix,29.3,
DNK,SUICIDE,TOT,SUM,PER,A,eightySeven,29.3,
DNK,SUICIDE,TOT,SUM,PER,A,eightyEight,27.2,
DNK,SUICIDE,TOT,SUM,PER,A,eightyNine,28.1,
DNK,SUICIDE,TOT,SUM,PER,A,ninety,25,
DNK,SUICIDE,TOT,SUM,PER,A,ninetyOne,23.2,
DNK,SUICIDE,TOT,SUM,PER,A,ninetyTwo,22.8,
DNK,SUICIDE,TOT,SUM,PER,A,ninetyThree,23,
DNK,SUICIDE,TOT,SUM,PER,A,ninetyFour,19.6,
DNK,SUICIDE,TOT,SUM,PER,A,ninetyFive,18.1,
DNK,SUICIDE,TOT,SUM,PER,A,ninetySix,17.4,
DNK,SUICIDE,TOT,SUM,PER,A,ninetySeven,15.9,
DNK,SUICIDE,TOT,SUM,PER,A,ninetyEight,14.6,
DNK,SUICIDE,TOT,SUM,PER,A,ninetyNine,14.6,
DNK,SUICIDE,TOT,SUM,PER,A,zero,13.9,
DNK,SUICIDE,TOT,SUM,PER,A,one,13.8,
DNK,SUICIDE,TOT,SUM,PER,A,two,13,
DNK,SUICIDE,TOT,SUM,PER,A,three,11.9,
DNK,SUICIDE,TOT,SUM,PER,A,four,12.3,
DNK,SUICIDE,TOT,SUM,PER,A,five,11.8,
DNK,SUICIDE,TOT,SUM,PER,A,six,12,
DNK,SUICIDE,TOT,SUM,PER,A,seven,10.6,
DNK,SUICIDE,TOT,SUM,PER,A,eight,11,
DNK,SUICIDE,TOT,SUM,PER,A,nine,11.2,
DNK,SUICIDE,TOT,SUM,PER,A,ten,10.1,
DNK,SUICIDE,TOT,SUM,PER,A,eleven,10.5,
DNK,SUICIDE,TOT,SUM,PER,A,twelve,11.6,
DNK,SUICIDE,TOT,SUM,PER,A,thirteen,10.6,
DNK,SUICIDE,TOT,SUM,PER,A,fourteen,11,
DNK,SUICIDE,TOT,SUM,PER,A,fifteen,9.7,
DNK,SUICIDE,TOT,SUM,PER,A,sixteen,9.9,
DNK,SUICIDE,TOT,SUM,PER,A,seventeen,9.8,
